ID,Nombre,Tipo,Area
1,AMBIENTAL,AMBIENTAL,BIOQUÍMICA
2,REFRI 5,REFRIGERADOR,BIOQUÍMICA
3,REFRI 5,CONGELADOR -20,BIOQUÍMICA
4,VITRINA 2,REFRIGERADOR,BIOQUÍMICA
5,VITRINA 4,REFRIGERADOR,BIOQUÍMICA
6,VITRINA 9,REFRIGERADOR,BIOQUÍMICA
7,VITRINA HORMONAS,REFRIGERADOR,BIOQUÍMICA
8,VITRINA HORMONAS,CONGELADOR -40,BIOQUÍMICA
9,AMBIENTAL,AMBIENTAL,UNIDAD DE MEDICINA TRANSFUSIONAL
10,MATOS,REFRIGERADOR,UNIDAD DE MEDICINA TRANSFUSIONAL
11,FREEZER 1 PFC,CONGELADOR -40,UNIDAD DE MEDICINA TRANSFUSIONAL
12,VITRINA 10,REFRIGERADOR,UNIDAD DE MEDICINA TRANSFUSIONAL
13,AMBIENTAL,AMBIENTAL,SEROLOGÍA
14,WINKLER,REFRIGERADOR,SEROLOGÍA
15,WINKLER,CONGELADOR -40,SEROLOGÍA
16,THERMO,CONGELADOR -40,SEROLOGÍA
17,AMBIENTAL,AMBIENTAL,RECEPCIÓN
18,FREEZER 3,CONGELADOR -20,RECEPCIÓN
19,REFRI 1,,RECEPCIÓN
20,REFRI 1,CONGELADOR -20,RECEPCIÓN
21,REFRI ENVIOS,REFRIGERADOR,RECEPCIÓN
22,REFRI ENVIOS,CONGELADOR -20,RECEPCIÓN
23,REFRI 3,REFRIGERADOR,PASILLO
24,REFRI 3,CONGELADOR -20,PASILLO
25,FREEZER 2,CONGELADOR -20,PASILLO
26,AMBIENTAL,AMBIENTAL,LBM
27,REFRI S/N,REFRIGERADOR,LBM
28,REFRI S/N,CONGELADOR -20,LBM
29,AMBIENTAL,AMBIENTAL,MICROBIOLOGÍA
30,VITRINA 1,REFRIGERADOR,MICROBIOLOGÍA
31,VITRINA 3,REFRIGERADOR,MICROBIOLOGÍA
32,VITRINA 6,REFRIGERADOR,MICROBIOLOGÍA
33,VITRINA 7,REFRIGERADOR,MICROBIOLOGÍA
34,REFRI 6,REFRIGERADOR,MICROBIOLOGÍA
35,REFRI 6,CONGELADOR -20,MICROBIOLOGÍA
36,AMBIENTAL,AMBIENTAL,ORINAS
37,VITRINA 8,REFRIGERADOR,ORINAS
38,AMBIENTAL,AMBIENTAL,TUBERCULOSIS
39,MAIGAS,REFRIGERADOR,TUBERCULOSIS
40,AMBIENTAL,AMBIENTAL,SALA DE LAVADO
41,AMBIENTAL,AMBIENTAL,BODEGAS
42,AMBIENTAL,AMBIENTAL,BODEGAS
43,AMBIENTAL,AMBIENTAL,DONANTES
